,0,1,2,3,4,5
0,株式会社KANTOモータースクール | 年間休日115日＋有休消化ほぼ100％で【実質年休135日】!?,仕事内容:《働きながら国家資格が取得できる◎しかも手厚いサポート付き！》運転技能教習を中心に、お客様に運転スキルと交通ルールを教えるお仕事です。,対象となる方:【応募資格】◎高卒以上 ◎要普免(AT限定でもOK※1) ◎21歳以上(※2) ★コロナの影響で大好きな接客業を続けられなくなってしまったという方もぜひ！,勤務地:配属先は資格取得後に正式決定します。 ★全校徒歩、または送迎バスで10分圏内 ■横浜西口校 神奈川…,"給与:月給22万6000円 + 各種手当 ※国家資格を取得するまでの間は、 　時給1,015円になります。 ≪資格を取得…",初年度年収:380万円～420万円
1,エーアイアールグループ合同募集 | ★中途採用者活躍中★平均年齢29歳★残業少なめ★週休2日制,仕事内容:【100％反響営業★営業デビュー歓迎】お客様のご希望のお部屋探しをお手伝い♪ ★安心のチーム制 ★研修制度も充実 ★クリアな評価制度 ★ノルマなし,対象となる方:【応募条件を満たす方は全員面接確約！】◆未経験歓迎 ◆40歳までの方 ◎学歴不問 ◎先輩の95%は未経験入社 ※複数名採用！同期と一緒に働けます！,勤務地:【★積極採用中⇒池袋店/銀座店/新宿店/川崎店】 ☆転居を伴う転勤なし ☆全店舗最寄駅より5分圏内…,"給与:【各社共通】 月給24万5,000円~月給40万円 ＋ インセンティブ ＋ 賞与 ＋ 諸手当 ※経験やスキルに応じ…",初年度年収:450万円～1000万円
2,ロイヤルハウジング株式会社 | <創業47年ロイヤルグループ>☆2020年過去最高の業績を達成！,仕事内容:<ノルマなし！提案に集中できる><百貨店内の来店型接客！テレアポ・飛び込みなし>有料老人ホームやサービス付き高齢者向け住宅等の高齢者住宅をご案内,対象となる方:<介護業界経験は問いません>◎学歴不問◎ブランクOK◎生命保険営業の経験をお持ちの方◎高齢者を思いやり寄り添える方☆産育休からの復帰率ほぼ100％,勤務地:★転居を伴う転勤はありません ★直行直帰OK ★店舗は全て駅ビル内or駅前・駅近のためアクセス抜群…,"給与:【一般】 月給26万5,000円〜55万円＋業績賞与（年3回）+諸手当 【幹部候補】 月給35万円〜＋業績賞与（…",初年度年収:300万円～1000万円
3,株式会社ヨドバシカメラ | ◇正社員比率96.4%◇残業代100%(1分単位)支給◇社員割引制度有◇,仕事内容:物流を支える都内各営業所、もしくは『アッセンブリーセンター川崎』にて個人のお客様へ商品の宅配を行います。※特別なスキルや資格は必要ありません,対象となる方:【未経験者／第二新卒歓迎】◆45歳未満 ◆要普免(AT限定可) ※ペーパードライバー不可,勤務地:●都内各営業所(新宿区、世田谷区、足立区、江東区、北区、調布市、武蔵野市等)＋神奈川営業所(川崎市…,給与:月給20万5000円以上＋職務手当＋超過勤務手当 《年収例》 ■年収400万円／25歳／入社3年目／基本給20.5…,初年度年収:300万円～500万円
4,アート印刷株式会社 | ★時差出勤 ★土日祝休み ★企画から携われる,仕事内容:【販促ツールをメインに手掛ける／OJTで仕事を覚えられる】★大手企業をはじめとするクライアントの販促ツールやSP商材などのデザインを担当します。,対象となる方:【第二新卒歓迎】◆デザイナーとしての実務経験、もしくは同等のスキルがある方 ★幅広いジャンルに興味が持てる、好奇心旺盛な方,勤務地:★転勤なし／U・Iターン歓迎 【本社】 東京都港区芝3-3-15 芝MONTビル 【交通アクセス】…,"給与:月給236,000円〜 ※試用期間3ヶ月（待遇変動なし） ※上記給与には45時間分の固定残業代60,000円を含みま…",
5,トキコシステムソリューションズ株式会社 | 創業84年！エネルギーインフラの総合エンジニアリング企業,仕事内容:【総務（給与計算・社会保険業務など）】【社内システム開発やインフラ整備】【購買】の中から、経験・スキルや希望などに応じた業務をお任せします。,対象となる方:【第二新卒・経験の浅い方もOK】給与計算や労務管理・システム開発・購買など、いずれかの経験がある方　★賞与は年間5.7ヶ月分・フレックスタイム制,勤務地:【本社（神奈川県川崎市）】または【静岡事業所】に配属 ※希望を最大限に考慮します。 本社／神奈川県…,給与:月給20万円〜35万円＋諸手当＋賞与（年間5.7ヶ月分／昨年実績） ※経験・年齢などを考慮の上、決定しま…,
6,名正運輸株式会社 | ◎設立52年 ◎10年連続で売上アップ↑ ◎全国に向けて事業拡大中,仕事内容:【配送先が決まっているから安心｜日帰り配送のみ・長距離はありません】3t/4t/10tトラックで日用品や食品の配送をお任せします！◎資格取得支援あり,対象となる方:【20～30代が多数活躍中！】◎盤石な経営基盤のもと、未経験から育てます！◎応募条件：中型免許または旧普通免許（2007年6月1日以前に取得したもの）,勤務地:◎転勤なし／希望を考慮 【愛知県、岐阜県、静岡県、神奈川県、千葉県、群馬県、大阪府の各拠点】 ◎マ…,給与:【 3t 】月給27万円〜30万円 【 4t 】月給28万円〜35万円 【 10t 】月給32万円〜40万円 ※担当車種・勤…,
7,株式会社北浦工業 | 《安定性》日揮・東洋エンジニアリングなど大手企業と多数取引！,仕事内容:身近な製品に使用されているガラスや繊維など。その”なくてはならないモノ”をつくる設備の新設工事や点検・メンテナンスを担当していただきます,対象となる方:運転免許(AT可)があれば応募OK！◇安定した会社で技術を身につけたい、モノづくりに関わる仕事を続けたい…という方はぜひ！◇未経験スタート多数,勤務地:※マイカー通勤OK！ ※各案件先での業務がメインとなります。 勤務地は希望を考慮します。 【本社(…,給与:月給27万7000円以上＋賞与年2回(業績により＋決算賞与あり) ※経験・年齢を考慮の上、決定しています。 …,初年度年収:350万円～600万円
8,株式会社ECOサイクル | 全員面接保証／面接1回／人を育てる方針で多くの方を採用予定！,仕事内容:【複数名採用！同期と一緒にスタートできる！】生前整理などの相談対応や思い出の品の回収◆ノルマなしだけど、インセンを支給◆チーム制だから安心,対象となる方:【応募者全員面接します！】《経験・年齢・学歴不問》◎しっかり稼いでオフも充実できる体制を整えています！＜土日祝休み＆基本残業なし＞,勤務地:《転勤なし！》《社用車通勤OK！》 神奈川県川崎市川崎区大島2-17-13 ベラセラータ1F,給与:◆月給27万円以上＋歩合あり・賞与年2回 ※経験・年齢・能力を考慮の上、決定いたします。 ※経験者の方…,初年度年収:400万円～650万円
9,テクノスクエア株式会社 | 大手SIerやメーカーとの直接取引！高収益の開発会社です。,仕事内容:【10年後の150名体制に向けた積極採用】豊富な選択肢から、最適な開発案件をお任せします。 ★着実に社員も増加中！階層別研修で着実に成長できます,対象となる方:システム開発の経験（開発領域・言語・環境は不問） ★経験やスキルに合わせた業務をお任せするので、経験の浅い方も歓迎します！　★年間休日125日,勤務地:★転居を伴う転勤なし・UIターンも歓迎！ 【川崎本社】または【東京・神奈川のプロジェクト先】での勤…,"給与:月給23万9,000円以上＋残業手当（全額）＋その他諸手当＋賞与年3回 ※経験・スキル・年齢などを十分に考…",初年度年収:350万円～500万円
